Reading Airport file from airports.txt
There were 5738 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 Routes with IATA code
0.000286753160051 Mikonos, Greece
0.000286078703617 La Chorrera Airport, Colombia
0.000286071573876 Hammerfest Airport, Norway
0.000285777546422 Bucholz Aaf, Marshall Islands
0.000285345410334 Le Raizet, Guadeloupe
0.000283372117001 Tbilisi, Georgia
0.000283364214701 Pyrzowice, Poland
0.000282846426964 Umiujaq Airport, Canada
0.000282462282523 Varna, Bulgaria
0.000282210149837 Tanana Airport, United States
0.00028193605708 Silvio Pettirossi Intl, Paraguay
0.000281183656518 Tucson Intl, United States
0.000280761836471 Lajes, Portugal
0.000280237127978 Khomutovo, Russia
0.000279799783959 Zumbi Dos Palmares, Brazil
0.000279492566431 Tabriz Intl, Iran
0.000279428986544 Ching Chuang Kang, Taiwan
0.000279236644924 Postville Airport, Canada
0.00027921008015 Lamezia Terme, Italy
0.000278651196449 Genova Sestri, Italy
0.000278250330903 Taloyoak, Canada
0.00027774666689 Hurghada Intl, Egypt
0.000276387179754 Greenville-Spartanburg International, United States
0.000276198745262 Ambrosio L V Taravella, Argentina
0.000276082645528 Stebbins Airport, United States
0.000275975673473 Big Trout Lake Airport, Canada
0.000275490134698 Richmond Intl, United States
0.000274877326411 Simferopol Intl, Ukraine
0.000274813669221 Queenstown, New Zealand
0.000274660038949 Toamasina, Madagascar
0.000274449550038 Makkovik Airport, Canada
0.000274070913619 Oakland Co. Intl, United States
0.000273568316752 Maraba, Brazil
0.000273008448244 Chisinau Intl, Moldova
0.00027256865972 Exeter, United Kingdom
0.000272369903059 Resolute Bay, Canada
0.000272145866613 Sola Airport, Vanuatu
0.000272026793218 City of Derry, United Kingdom
0.000271872016533 Inukjuak Airport, Canada
0.000271236229585 Mineralnyye Vody, Russia
0.000271038686465 Zahedan Intl, Iran
0.000270770398375 Hamilton Airport, Australia
0.00026998616747 Sandy Lake Airport, Canada
0.000269951494212 San Pedro, Belize
0.00026967306155 Suavanao Airport, Solomon Islands
0.000268743974124 Aktau, Kazakhstan
0.000267941470481 Muskrat Dam Airport, Canada
0.000267896777464 Wai Sha Airport, China
0.000267620664676 Flin Flon, Canada
0.000267011042936 Lihue, United States
0.000266608986899 Tulsa Intl, United States
0.000266157247161 Senou, Mali
0.000266128747281 Sendai, Japan
0.0002660891069 Bocas Del Toro Intl, Panama
0.000265318965502 Strachowice, Poland
0.000264696495733 Roschino, Russia
0.000264418767241 Dushanbe, Tajikistan
0.000263671124931 Guernsey, Guernsey
0.000263572256821 Arviat, Canada
0.000262278284434 Bern Belp, Switzerland
0.000261702568777 Pula, Croatia
0.000261690789787 Goloson Intl, Honduras
0.000261682688286 Bob Baker Memorial Airport, United States
0.000261439258438 Ruby Airport, United States
0.000261210621697 Ordos Ejin Horo, China
0.000260643613059 Greater Rochester Intl, United States
0.000260170550538 Nagasaki, Japan
0.000260002815651 Madang, Papua New Guinea
0.000259753447871 Capitan Oriel Lea Plaza, Bolivia
0.000259630223552 Stronsay Airport, United Kingdom
0.000259289580266 Yaounde Nsimalen, Cameroon
0.000259101789298 Yaounde Ville, Cameroon
0.000258586100411 Santa Maria, Brazil
0.000258360563396 St Augustin Airport, Canada
0.000257320938533 Minto Airport, United States
0.000257214823487 General Manuel Carlos Piar, Venezuela
0.000257192797505 Des Moines Intl, United States
0.000256959407265 Le Lamentin, Martinique
0.000256648912832 Sultan Ismail Petra, Malaysia
0.00025631859555 Rotterdam, Netherlands
0.000256254869367 Santa Maria Airport, Brazil
0.000256210591231 Qaanaaq Airport, Greenland
0.000256030355218 Husein Sastranegara, Indonesia
0.000255891925371 Churchill, Canada
0.00025477863313 Windhoek Hosea Kutako International Airport , Namibia
0.000254644115506 Ontario Intl, United States
0.000254542980135 Anaktuvuk Pass Airport, United States
0.000254375506795 Managua Intl, Nicaragua
0.000254328821659 Chevery Airport, Canada
0.000254234261466 St Anthony, Canada
0.000254160770481 Devi Ahilyabai Holkar, India
0.000253993044506 Charleston Afb Intl, United States
0.000253985139266 Samui, Thailand
0.000253692020007 St. Michael Airport, United States
0.000253640187842 Kenora, Canada
0.000253097398898 Licenciado Adolfo Lopez Mateos Intl, Mexico
0.000252970677084 Arcata, United States
0.000252750408696 Jackson Evers Intl, United States
0.000251305672907 Balandino, Russia
0.000251063062381 Jaipur, India
0.000250656659919 James M Cox Dayton Intl, United States
0.000250303027253 Shannon, Ireland
0.000250277742333 Quilpie Airport, Australia
0.000249969560545 Casale, Italy
0.000249963005067 Pohnpei Intl, Micronesia
0.000249870801449 Zarzis, Tunisia
0.000249722381191 Kugluktuk, Canada
0.000249429510237 Zamboanga Intl, Philippines
0.000249425908569 Tte Av Jorge Henrich Arauz, Bolivia
0.000248929536895 Diori Hamani, Niger
0.000248214925715 Teniente Alejandro Velasco Astete Intl, Peru
0.000248158451441 Craig Cove Airport, Vanuatu
0.000248085241676 Sud Corse, France
0.00024795686594 Goroka, Papua New Guinea
0.000247875444748 Sheldon Point Airport, United States
0.000247741967039 Akulivik Airport, Canada
0.000247669589526 Brunei Intl, Brunei
0.000247380865497 Ishigaki, Japan
0.000246946532866 Westchester Co, United States
0.000246762246693 Kabul Intl, Afghanistan
0.000246632379367 Aden Intl, Yemen
0.000246554615396 Benito Salas, Colombia
0.000246376960736 Russian Mission Airport, United States
0.000246195221733 Regional De Maringa Silvio Name Junior, Brazil
0.000245673511527 Jorge Wilsterman, Bolivia
0.000245387144873 Londrina, Brazil
0.000245082354942 Marudi, Malaysia
0.000244653944219 Fujairah Intl, United Arab Emirates
0.000244605951576 Conakry, Guinea
0.000244322292812 Mont Joli, Canada
0.000244316362984 Maningrida Airport, Australia
0.000244254868362 Pikangikum Airport, Canada
0.00024387563234 El Tepual Intl, Chile
0.000243752962216 Sitka Rocky Gutierrez, United States
0.000242338345274 Fresno Yosemite Intl, United States
0.000241678269958 Baotou Airport, China
0.000241347631168 Grayling Airport, United States
0.000241087687582 Lalibella, Ethiopia
0.000241020836014 General R Fierro Villalobos Intl, Mexico
0.000240774911885 Ten Cel Av Cesar Bombonato, Brazil
0.000240479426926 Lifou, New Caledonia
0.000240411110779 Iloilo, Philippines
0.00024033631636 El Carano, Colombia
0.000239836741131 Amilcar Cabral Intl, Cape Verde
0.000239598493864 Uléi Airport, Vanuatu
0.000239398622669 Springbok, South Africa
0.000238819811339 Santa Cruz, Bolivia
0.000238636768515 Culiacan Intl, Mexico
0.000238556042241 Kongiganak Airport, United States
0.000237830805609 McGrath Airport, United States
0.000237516849761 Mota Lava Airport, Vanuatu
0.000237455255613 Canberra, Australia
0.000237360106457 Nampula, Mozambique
0.000237269655223 Daniel Oduber Quiros Intl, Costa Rica
0.000236680783129 Iginniarfik Heliport, Greenland
0.000236561951365 Yola, Nigeria
0.000236445381374 Quinhagak Airport, United States
0.000236242115137 Diego Aracena Intl, Chile
0.000236210306987 Prestwick, United Kingdom
0.000236207201273 Alta, Norway
0.000235966449964 Vanguardia, Colombia
0.00023580727132 Hall Beach, Canada
0.000235372639044 Changzhou, China
0.00023505749544 Sturup, Sweden
0.000235043484959 Craig Seaplane Base, United States
0.000234986396587 Odesa Intl, Ukraine
0.000234352675245 Timmins, Canada
0.000233943313235 Quad City Intl, United States
0.000233785205233 Malindi Airport, Kenya
0.000233720476236 Lonorore Airport, Vanuatu
0.000233456612648 Temindung, Indonesia
0.000233396396557 Gustavus Airport, United States
0.000233391904565 Save, Sweden
0.000232866006544 Goa, India
0.000232775279456 Regina Intl, Canada
0.000231872612609 Radin Inten II (Branti) Airport, Indonesia
0.000231713593001 Beira, Mozambique
0.000231678285593 Nizhny Novgorod, Russia
0.000231377854414 La Chinita Intl, Venezuela
0.000231223501866 Araracuara Airport, Colombia
0.000231187156742 Adams Fld, United States
0.0002310946152 Joacaba Airport, Brazil
0.000230862946925 Boeing Fld King Co Intl, United States
0.00023052758684 Ercan International Airport, Cyprus
0.000229498885351 H Hasan Aroeboesman, Indonesia
0.000229475470902 Adana, Turkey
0.000229380434764 Toussaint Louverture Intl, Haiti
0.000229205352862 Sarajevo, Bosnia and Herzegovina
0.000229088500963 Belfast City, United Kingdom
0.000228738542034 Xuzhou Guanyin Airport, China
0.000228668700524 Rasht, Iran
0.000228129592324 Inhambane, Mozambique
0.000227396671248 Norman Manley Intl, Jamaica
0.000227320178382 Mannheim Railway, Germany
0.000227207602571 Trenton Mercer, United States
0.000227183215373 DuBois Regional Airport, United States
0.000227148519265 Alakanuk Airport, United States
0.000227135156708 M R Stefanik, Slovakia
0.00022696819078 Chisasibi Airport, Canada
0.00022618238247 Bettles, United States
0.000226121928452 Kotlik Airport, United States
0.000225859532214 Quaqtaq Airport, Canada
0.000225677611742 Manchester Regional Airport, United States
0.000225649148236 Cataratas Intl, Brazil
0.00022558051224 Losuia Airport, Papua New Guinea
0.000225537045755 Podgorica, Montenegro
0.000225275603379 Achmad Yani, Indonesia
0.000225208578376 Malabo, Equatorial Guinea
0.000224707941766 Baden Airpark, Germany
0.000224543915548 Gaua Island Airport, Vanuatu
0.000224534979605 Hollis Seaplane Base, United States
0.000224339323298 Frank Pais Intl, Cuba
0.000223980267367 Bearskin Lake Airport, Canada
0.000223764982692 Edward Bodden Airfield, Cayman Islands
0.00022356717434 Bob Hope, United States
0.000223024757529 Lawica, Poland
0.000222754120742 Kwigillingok Airport, United States
0.000222679940746 Banks Airport, United States
0.000221874175035 Pierre Regional Airport, United States
0.000221784653489 Bora Bora, French Polynesia
0.000221476203731 Dryden Rgnl, Canada
0.000221273510257 Halmstad, Sweden
0.000221182267275 Fort Mcmurray, Canada
0.000221015514916 Fort Wayne, United States
0.00022082129506 Sultan Mahmud Badaruddin Ii, Indonesia
0.000220782245034 Shageluk Airport, United States
0.000220578210398 Longana Airport, Vanuatu
0.000220527863538 Ivujivik Airport, Canada
0.000220364936788 Ngorangora Airport, Solomon Islands
0.000220067675427 Allgau, Germany
0.000219363664347 Wideawake Field, United Kingdom
0.000219186082229 Kefallinia, Greece
0.000218993954821 Upernavik Airport, Greenland
0.000218264439516 Abha, Saudi Arabia
0.000218213426698 Port Harcourt Intl, Nigeria
0.000217891588897 Longreach Airport, Australia
0.000217869807143 Qaqortoq Heliport, Greenland
0.000217734478627 Platinum, United States
0.000217438173618 Jerez, Spain
0.000217242116659 Robert Curtis Memorial Airport, United States
0.000216880084528 Dzaoudzi Pamandzi, Mayotte
0.000216786665082 Saidpur, Bangladesh
0.000216738666624 Kipnuk Airport, United States
0.000216396234051 El Paso Intl, United States
0.000216055487086 Wapekeka Airport, Canada
0.000216037268596 Charleville, Australia
0.000215998990325 Emmonak Airport, United States
0.000215985743928 Srinagar, India
0.000215815423923 Lamu Manda, Kenya
0.000215313415628 Tari Airport, Papua New Guinea
0.000214752017976 Aasiaat, Greenland
0.00021452049056 Aeroporto de Porto Seguro, Brazil
0.000214299040509 Hiroshima, Japan
0.000214188819364 Anvik Airport, United States
0.000214033236517 Omsk, Russia
0.000214006766023 Lilabari, India
0.000213693769829 Williams Harbour Airport, Canada
0.000213686259676 Zhangxiao, China
0.00021361391319 Varanasi, India
0.000213367669383 Sachigo Lake Airport, Canada
0.000213302886585 Lucknow, India
0.000213085499077 Senador Petronio Portella, Brazil
0.000213072784362 Alice Springs, Australia
0.000212741961853 Mary's Harbour Airport, Canada
0.000212690554289 Weihai Airport, China
0.000212619999525 Dayong Airport, China
0.000211766227555 Bujumbura Intl, Burundi
0.000211556101713 Cunnamulla Airport, Australia
0.000211227828737 Kangiqsujuaq - Wakeham Bay Airport, Canada
0.000210590632764 Long Beach, United States
0.00021040650263 Nuku Hiva, French Polynesia
0.00021040650263 Hiva Oa-Atuona Airport, French Polynesia
0.000210390941225 Chefornak Airport, United States
0.000210321449781 Shungnak Airport, United States
0.000209866636948 Marsh Harbour, Bahamas
0.000209693495705 Ernesto Cortissoz, Colombia
0.000209637681939 Salluit Airport, Canada
0.000209572037013 Ua Pou Airport, French Polynesia
0.000209324943628 Peoria Regional, United States
0.000209183994597 Eilat, Israel
0.000209183690476 Vishakhapatnam, India
0.000209092929843 St Mawgan, United Kingdom
0.00020895830474 Zanzibar, Tanzania
0.000208812526963 Natashquan, Canada
0.000208657040123 Saarbrucken, Germany
0.000208313761907 Windorah Airport, Australia
0.000208264834115 Rodriguez Ballon, Peru
0.000208155719369 Seychelles Intl, Seychelles
0.0002079790545 Mornington Island Airport, Australia
0.000207945468835 Diosdado Macapagal International, Philippines
0.000207671603471 Bournemouth, United Kingdom
0.000207595523656 Lubbock Preston Smith Intl, United States
0.000207444681505 Inverness, United Kingdom
0.000207376698687 St. Lewis (Fox Harbour) Airport, Canada
0.000207219407278 Juan Manuel Galvez Intl, Honduras
0.000207123220389 NW Arkansas Regional, United States
0.000207009361929 Bou Chekif, Algeria
0.000206573872523 Syktyvkar, Russia
0.000206435117278 Abadan, Iran
0.000206170363378 Puerto Princesa, Philippines
0.000206164899477 Kwethluk Airport, United States
0.000206094460426 Southwest Bay Airport, Vanuatu
0.000205899476512 Tete Chingodzi, Mozambique
0.000205660994562 Saskatoon J G Diefenbaker Intl, Canada
0.000205598295002 Point Salines Intl, Grenada
0.000205539369116 Bellingham Intl, United States
0.000205400061936 Asyut International Airport, Egypt
0.000205373367098 Wemindji Airport, Canada
0.000205348805253 Roros, Norway
0.000205269492718 Mount Magnet Airport, Australia
0.000205247381025 Juana Azurduy De Padilla, Bolivia
0.000205228365283 Wales Airport, United States
0.000205226233948 Carajas Airport, Brazil
0.000204914745036 Kobuk Airport, United States
0.000204296188149 Noatak Airport, United States
0.000204014588264 Rimini, Italy
0.000203768978179 Le Palyvestre, France
0.00020363842773 Thompson, Canada
0.000203177574209 Kadala, Russia
0.000203160071384 Point Hope Airport, United States
0.000202518464431 Camp Mabry Austin City, United States
0.000202389521884 Harrisburg Intl, United States
0.000202085187165 Syracuse Hancock Intl, United States
0.00020203128462 Rafael Nunez, Colombia
0.00020163031062 Salta, Argentina
0.000201596565516 Hector International Airport, United States
0.00020153809114 Bonriki Intl, Kiribati
0.000201335112631 Kooddoo, Maldives
0.000201116619754 Holy Cross Airport, United States
0.000201098414807 Bushehr, Iran
0.000200995570235 Akron Canton Regional Airport, United States
0.000200670767195 Sanikiluaq Airport, Canada
0.000200576053155 Sir Seretse Khama Intl, Botswana
0.000200490967854 Ernest A Love Fld, United States
0.000200069620371 Murcia San Javier, Spain
0.000199967801047 Masterton, New Zealand
0.000199194929586 Airport, Norway
0.000199064732718 Newcastle Airport, Australia
0.000199054776322 Barataevka, Russia
0.000198694572661 Thorne Bay Seaplane Base, United States
0.000198589855935 Whale Cove Airport, Canada
0.000198365524874 Tachileik, Burma
0.000198008425527 Ulukhaktok Holman, Canada
0.000197963479086 Graz, Austria
0.000197781593284 Skopje, Macedonia
0.000197483297599 Yeager, United States
0.000197205906642 Raipur, India
0.000197043021255 Mattala Rajapaksa Intl., Sri Lanka
0.000197036042523 Lycksele, Sweden
0.000197034830749 Kununurra, Australia
0.000196994321773 Kengtung, Burma
0.000196975964221 Skagway Airport, United States
0.000196961523222 Sudbury, Canada
0.000196703839653 Scammon Bay Airport, United States
0.000196435916871 Melbourne Essendon, Australia
0.000196296918345 Pointe Noire, Congo (Brazzaville)
0.000196012692104 Qaisumah, Saudi Arabia
0.000195896278053 Mombasa Moi Intl, Kenya
0.000195703605118 Round Lake (Weagamow Lake) Airport, Canada
0.000195489389321 Dillon's Bay Airport, Vanuatu
0.000195333865693 Aktio, Greece
0.000195288292401 Shahid Ashrafi Esfahani, Iran
0.000195205786114 Tambolaka Airport, Indonesia
0.000194702426509 Monrovia Roberts Intl, Liberia
0.000194455583143 Fort Smith, Canada
0.000194350455592 Jessore, Bangladesh
0.000193826900418 Tulita, Canada
0.000193821909642 Jijiga Airport, Ethiopia
0.000193744431789 Lombok International Airport, Indonesia
0.000193543940981 Traian Vuia, Romania
0.000193409995795 Kenai Muni, United States
0.000193292079836 Mildura Airport, Australia
0.000193174228611 Berbera, Somalia
0.000193115740777 Ambler Airport, United States
0.000192694667982 Mahlon Sweet Fld, United States
0.000192675692339 Deer Lake, Canada
0.000192559754158 Aden Adde International Airport, Somalia
0.000192091713551 Dalma Airport, United Arab Emirates
0.000191327401612 Spokane Intl, United States
0.000191313901528 Plan De Guadalupe Intl, Mexico
0.000191016845903 Launceston, Australia
0.000190823083285 Gerardo Tobar Lopez, Colombia
0.000190772257084 Fua Amotu Intl, Tonga
0.000190239089927 Xiangfan Airport, China
0.000190238418084 Huslia Airport, United States
0.000189940458338 Shaktoolik Airport, United States
0.000189813060032 Wunnumin Lake Airport, Canada
0.000188940429595 Daegu Ab, South Korea
0.000188869117596 Torres Airstrip, Vanuatu
0.000188730961196 Ireland West Knock, Ireland
0.000188407342293 Bandar Lengeh, Iran
0.000188150110296 Wichita Mid Continent, United States
0.000187806130189 Tavie Airport, Vanuatu
0.000187751451227 Dawson Community Airport, United States
0.000187644999078 Kulusuk, Greenland
0.000187155743286 Tefe, Brazil
0.000186994622383 Yelizovo, Russia
0.000186882630899 Bonaventure Airport, Canada
0.00018680029799 Raiatea, French Polynesia
0.000186731555513 Presidente Peron, Argentina
0.000186703594427 Macaé Airport, Brazil
0.000186644192227 NAS Alameda, United States
0.000186354195768 PlÃ¡cido de Castro, Brazil
0.000186160278455 Lauro Kurtz, Brazil
0.000185970882547 Schefferville, Canada
0.000185763684517 Erechim Airport, Brazil
0.000185452161075 Iles De La Madeleine, Canada
0.000185447069687 Fort Frances Municipal Airport, Canada
